country_name,country_code,year,trans_rank,net_migration,life_expectancy
Namibia,NAM,2005,NA,-50000,55.97743902
Nepal,NPL,2005,NA,-1023896,65.49429268
Netherlands,NLD,2005,NA,55674,79.34634146
New Caledonia,NCL,2005,NA,4234,75.16829268
New Zealand,NZL,2005,NA,62413,79.85121951
Nicaragua,NIC,2005,NA,-155000,71.83809756
Niger,NER,2005,NA,-28497,53.93685366
Nigeria,NGA,2005,NA,-300000,48.6664878
North America,NAC,2005,NA,6300158,77.76444426
Norway,NOR,2005,NA,174001,80.04146341
OECD members,OED,2005,NA,15860032,78.24805661
Oman,OMN,2005,NA,185500,74.40760976
Other small states,OSS,2005,NA,-236762,57.56467656
Pacific island small states,PSS,2005,NA,-75792,68.06841613
Pakistan,PAK,2005,NA,-1296372,63.87763415
Panama,PAN,2005,NA,22244,75.97163415
Papua New Guinea,PNG,2005,NA,0,60.64307317
Paraguay,PRY,2005,NA,-117299,71.28631707
Peru,PER,2005,NA,-489999,72.4585122
Philippines,PHL,2005,NA,-1829034,67.2664878
Poland,POL,2005,NA,5235,74.99512195
Portugal,PRT,2005,NA,127025,78.07073171
Puerto Rico,PRI,2005,NA,-138043,78.29609756
Qatar,QAT,2005,NA,854839,77.02353659
Romania,ROU,2005,NA,-874406,71.87889512
Russian Federation,RUS,2005,NA,2157349,65.47
Rwanda,RWA,2005,NA,-75001,54.75160976
Samoa,WSM,2005,NA,-15371,70.99692683
Sao Tome and Principe,STP,2005,NA,-5599,64.57690244
Saudi Arabia,SAU,2005,NA,815000,73.177
Senegal,SEN,2005,NA,-166051,60.36192683
Serbia,SRB,2005,NA,-38215,72.83414634
Seychelles,SYC,2005,NA,-1111,72.13170732
Sierra Leone,SLE,2005,NA,60000,43.60307317
Singapore,SGP,2005,NA,449245,79.9902439
Slovak Republic,SVK,2005,NA,9597,73.90487805
Slovenia,SVN,2005,NA,49624,77.61219512
Small states,SST,2005,NA,-440163,61.72338452
Solomon Islands,SLB,2005,NA,-11896,65.5534878
Somalia,SOM,2005,NA,-350000,52.35585366
South Africa,ZAF,2005,NA,1402640,51.55734146
South Asia,SAS,2005,NA,-9901386,64.80484767
South Sudan,SSD,2005,NA,785000,51.17163415
Spain,ESP,2005,NA,2250005,80.17073171
Sri Lanka,LKA,2005,NA,-520065,73.97356098
St. Lucia,LCA,2005,NA,2850,72.99907317
St. Vincent and the Grenadines,VCT,2005,NA,-5122,71.22890244
Sub-Saharan Africa (all income levels),SSF,2005,NA,-496807,52.71754003
Sub-Saharan Africa (developing only),SSA,2005,NA,-515696,52.71464126
Sudan,SDN,2005,NA,-500000,59.84082927
Suriname,SUR,2005,NA,-5675,68.846
Swaziland,SWZ,2005,NA,-6000,45.86007317
Sweden,SWE,2005,NA,262453,80.54634146
Switzerland,CHE,2005,NA,344872,81.23658537
Syrian Arab Republic,SYR,2005,NA,370000,74.36385366
Tajikistan,TJK,2005,NA,-65435,66.09721951
Tanzania,TZA,2005,NA,-265317,55.60478049
Thailand,THA,2005,NA,-858537,72.15726829
Timor-Leste,TLS,2005,NA,-104946,64.15609756
Togo,TGO,2005,NA,-9994,54.50797561
Tonga,TON,2005,NA,-8196,71.45334146
Trinidad and Tobago,TTO,2005,NA,-11303,68.97904878
Tunisia,TUN,2005,NA,-32941,73.50243902
Turkey,TUR,2005,NA,-50000,72.44812195
Turkmenistan,TKM,2005,NA,-57048,64.43236585
Uganda,UGA,2005,NA,-135000,51.77021951
Ukraine,UKR,2005,NA,235195,67.95682927
United Arab Emirates,ARE,2005,NA,3493000,75.68639024
United Kingdom,GBR,2005,NA,1523939,79.04878049
United States,USA,2005,NA,5070253,77.48780488
Upper middle income,UMC,2005,NA,-4878453,72.53288863
Uruguay,URY,2005,NA,-50000,75.63470732
Uzbekistan,UZB,2005,NA,-290000,67.34704878
Vanuatu,VUT,2005,NA,1135,69.31785366
Venezuela  RB,VEN,2005,NA,-28395,73.20331707
Vietnam,VNM,2005,NA,-877681,74.13812195
Virgin Islands (U.S.),VIR,2005,NA,-6191,78.52439024
West Bank and Gaza,PSE,2005,NA,-90000,71.47087805
World,WLD,2005,NA,0,69.01347126
Yemen  Rep.,YEM,2005,NA,0,61.49792683
Zambia,ZMB,2005,NA,-124044,49.42939024
Zimbabwe,ZWE,2005,NA,-307650,41.75960976
Afghanistan,AFG,2006,NA,-677497,57.43256098
Albania,ALB,2006,NA,-252926,76.28612195
Algeria,DZA,2006,NA,-357340,72.55770732
Angola,AGO,2006,NA,85286,49.00704878
Antigua and Barbuda,ATG,2006,NA,-92,74.61814634
Arab World,ARB,2006,NA,4413525,68.98325735
Argentina,ARG,2006,NA,-84998,74.84990244
Armenia,ARM,2006,NA,-136009,73.54826829
Aruba,ABW,2006,NA,-441,74.37619512
Australia,AUS,2006,NA,1132688,81.04146341
Austria,AUT,2006,NA,153763,79.8804878
Azerbaijan,AZE,2006,NA,-96798,69.3752439
Bahamas  The,BHS,2006,NA,14363,73.85846341
Bahrain,BHR,2006,NA,316544,75.56646341
Bangladesh,BGD,2006,NA,-3570954,68.42563415
Barbados,BRB,2006,NA,2050,74.19312195
Belarus,BLR,2006,NA,63933,69.40487805
Belgium,BEL,2006,NA,267204,79.3804878
Belize,BLZ,2006,NA,8722,69.2794878
Benin,BEN,2006,NA,50000,57.48339024
Bhutan,BTN,2006,NA,16829,65.63790244
Bolivia,BOL,2006,NA,-84003,64.11495122
Bosnia and Herzegovina,BIH,2006,NA,3677,75.23143902
Botswana,BWA,2006,NA,18730,56.87326829
Brazil,BRA,2006,NA,0,72.13173171
Brunei Darussalam,BRN,2006,NA,2441,76.42812195
Bulgaria,BGR,2006,NA,-83002,72.61219512
Burkina Faso,BFA,2006,NA,-125000,54.40390244
Burundi,BDI,2006,NA,163733,53.05387805
Cabo Verde,CPV,2006,NA,-25866,71.83568293
Cambodia,KHM,2006,NA,-295987,63.79558537
Cameroon,CMR,2006,NA,-90000,52.1502439
Canada,CAN,2006,NA,1229905,80.41878049
Caribbean small states,CSS,2006,NA,-127609,71.30823033
Central African Republic,CAF,2006,NA,5000,45.16312195
Central Europe and the Baltics,CEB,2006,NA,-811784,74.09335416
Chad,TCD,2006,NA,70000,48.23002439
Channel Islands,CHI,2006,NA,4479,79.16653659
Chile,CHL,2006,NA,139345,78.97917073
China,CHN,2006,NA,-2202103,74.07170732
Colombia,COL,2006,NA,-143000,72.49143902
Comoros,COM,2006,NA,-10000,60.38831707
Congo  Dem. Rep.,COD,2006,NA,-43426,54.36782927
Congo  Rep.,COG,2006,NA,49872,54.64782927
Costa Rica,CRI,2006,NA,30339,78.20780488
Cote d'Ivoire,CIV,2006,NA,-220000,48.2587561
Croatia,HRV,2006,NA,-22532,75.83682927
Cuba,CUB,2006,NA,-193998,78.20595122
Curacao,CUW,2006,NA,15363,74.7097561
Cyprus,CYP,2006,NA,44166,78.72287805
Czech Republic,CZE,2006,NA,250889,76.52439024
Denmark,DNK,2006,NA,87989,78.09512195
Djibouti,DJI,2006,NA,-19965,58.37668293
Dominican Republic,DOM,2006,NA,-153773,71.91682927
East Asia & Pacific (all income levels),EAS,2006,NA,-5719538,73.34397228
East Asia & Pacific (developing only),EAP,2006,NA,-8308340,72.39476563
Ecuador,ECU,2006,NA,-44999,74.32021951
Egypt  Arab Rep.,EGY,2006,NA,-279228,69.60319512
El Salvador,SLV,2006,NA,-285671,70.47917073
Equatorial Guinea,GNQ,2006,NA,20000,54.07658537
Eritrea,ERI,2006,NA,-160001,59.11656098
Estonia,EST,2006,NA,-15151,72.69146341
Ethiopia,ETH,2006,NA,-50132,57.32492683
Euro area,EMU,2006,NA,4638063,79.85599295
Europe & Central Asia (all income levels),ECS,2006,NA,7418656,74.57378934
Europe & Central Asia (developing only),ECA,2006,NA,-2098386,70.24204539
European Union,EUU,2006,NA,5884417,78.73775068
Fiji,FJI,2006,NA,-28754,68.6665122
Finland,FIN,2006,NA,71143,79.21463415
Fragile and conflict affected situations,FCS,2006,NA,-2970463,58.94211237
France,FRA,2006,NA,480787,80.81219512
French Polynesia,PYF,2006,NA,-3463,74.56995122
Gabon,GAB,2006,NA,9566,59.88707317
Gambia  The,GMB,2006,NA,-13742,58.25082927
Georgia,GEO,2006,NA,-289534,73.21214634
Germany,DEU,2006,NA,31640,79.13170732
Ghana,GHA,2006,NA,189259,59.18421951
Greece,GRC,2006,NA,80157,79.43902439
Grenada,GRD,2006,NA,-4274,71.60590244
Guam,GUM,2006,NA,-9776,77.03256098
Guatemala,GTM,2006,NA,-132000,69.88790244
Guinea,GIN,2006,NA,-55577,53.2547561
Guinea-Bissau,GNB,2006,NA,-25000,52.58253659
Guyana,GUY,2006,NA,-34129,65.68487805
Haiti,HTI,2006,NA,-138004,59.56741463
Heavily indebted poor countries (HIPC),HPC,2006,NA,-3090205,55.83240701
High income,HIC,2006,NA,24750592,77.42395789
High income: nonOECD,NOC,2006,NA,8430964,71.1960422
High income: OECD,OEC,2006,NA,16319628,79.27530607
Honduras,HND,2006,NA,-99997,71.67246341
Hong Kong SAR  China,HKG,2006,NA,44716,82.37560976
Hungary,HUN,2006,NA,95789,73.09756098
Iceland,ISL,2006,NA,8041,81.15853659
India,IND,2006,NA,-2829378,64.90809756
Indonesia,IDN,2006,NA,-1116994,67.3674878
Iran  Islamic Rep.,IRN,2006,NA,-549266,72.28812195
Iraq,IRQ,2006,NA,-457332,68.2565122
Ireland,IRL,2006,NA,198144,79.24146341
Israel,ISR,2006,NA,273635,80.55365854
Italy,ITA,2006,NA,1006308,81.28292683
Jamaica,JAM,2006,NA,-94999,73.71560976
Japan,JPN,2006,NA,445267,82.32195122
Jordan,JOR,2006,NA,449998,72.80104878
Kazakhstan,KAZ,2006,NA,-35196,66.16097561
Kenya,KEN,2006,NA,-189330,54.59109756
Kiribati,KIR,2006,NA,-578,64.88534146
Korea  Dem. PeopleÕs Rep.,PRK,2006,NA,0,68.2927561
Korea  Rep.,KOR,2006,NA,404715,78.96926829
Kuwait,KWT,2006,NA,522000,73.72626829
Kyrgyz Republic,KGZ,2006,NA,-76604,67.69512195
Lao PDR,LAO,2006,NA,-117700,62.28863415
Latin America & Caribbean (all income levels),LCN,2006,NA,-2675725,73.15258298
Latin America & Caribbean (developing only),LAC,2006,NA,-2527383,72.75166961
Latvia,LVA,2006,NA,-86168,70.86585366
Least developed countries: UN classification,LDC,2006,NA,-8375096,59.01532258
Lebanon,LBN,2006,NA,183370,77.24670732
Lesotho,LSO,2006,NA,-24418,44.14834146
Liberia,LBR,2006,NA,175585,56.14187805
Libya,LBY,2006,NA,-82008,71.63104878
Lithuania,LTU,2006,NA,-141659,71.05609756
Low & middle income,LMY,2006,NA,-24793815,67.2955743
Low income,LIC,2006,NA,-2673046,56.14015969
Lower middle income,LMC,2006,NA,-17242316,64.68810015
Luxembourg,LUX,2006,NA,42279,79.28780488
Macao SAR  China,MAC,2006,NA,56322,78.85156098
Macedonia  FYR,MKD,2006,NA,-4999,74.20673171
Madagascar,MDG,2006,NA,-5000,61.62436585
Malawi,MWI,2006,NA,-36820,49.81697561
Malaysia,MYS,2006,NA,652234,73.71143902
Maldives,MDV,2006,NA,-53,74.92685366
Mali,MLI,2006,NA,-100823,53.44680488
Malta,MLT,2006,NA,13525,79.43902439
Mauritania,MRT,2006,NA,-20000,60.8837561
Mauritius,MUS,2006,NA,-12079,72.43219512
Mexico,MEX,2006,NA,-409596,75.43878049
Micronesia  Fed. Sts.,FSM,2006,NA,-12132,68.07419512
Middle East & North Africa (all income levels),MEA,2006,NA,5031419,71.18621351
Middle East & North Africa (developing only),MNA,2006,NA,-1442624,70.630445
Middle income,MIC,2006,NA,-22120769,68.47029909
Moldova,MDA,2006,NA,-47911,67.89590244
Mongolia,MNG,2006,NA,-15001,65.60609756
Montenegro,MNE,2006,NA,-3108,73.7855122
Morocco,MAR,2006,NA,-577912,70.85243902
Mozambique,MOZ,2006,NA,-50000,51.11526829
Myanmar,MMR,2006,NA,-1466799,63.8242439
Namibia,NAM,2006,NA,-50000,57.32487805
Nepal,NPL,2006,NA,-1023896,66.03607317
Netherlands,NLD,2006,NA,55674,79.69756098
New Caledonia,NCL,2006,NA,4234,76.46097561
New Zealand,NZL,2006,NA,62413,80.04878049
Nicaragua,NIC,2006,NA,-155000,72.21302439
Niger,NER,2006,NA,-28497,54.65456098
Nigeria,NGA,2006,NA,-300000,49.23614634
North America,NAC,2006,NA,6300158,77.95675553
Norway,NOR,2006,NA,174001,80.34390244
OECD members,OED,2006,NA,15860032,78.55354855
Oman,OMN,2006,NA,185500,74.77480488
Other small states,OSS,2006,NA,-236762,58.26795156
Pacific island small states,PSS,2006,NA,-75792,68.2905497
Pakistan,PAK,2006,NA,-1296372,64.09939024
Panama,PAN,2006,NA,22244,76.141
Papua New Guinea,PNG,2006,NA,0,60.99553659
Paraguay,PRY,2006,NA,-117299,71.49185366
Peru,PER,2006,NA,-489999,72.74343902
Philippines,PHL,2006,NA,-1829034,67.3747561
Poland,POL,2006,NA,5235,75.14390244
Portugal,PRT,2006,NA,127025,78.4195122
Puerto Rico,PRI,2006,NA,-138043,78.41634146
Qatar,QAT,2006,NA,854839,77.14560976
Romania,ROU,2006,NA,-874406,72.16341463
Russian Federation,RUS,2006,NA,2157349,66.64317073
Rwanda,RWA,2006,NA,-75001,56.38665854
Samoa,WSM,2006,NA,-15371,71.27865854
Sao Tome and Principe,STP,2006,NA,-5599,64.89246341
Saudi Arabia,SAU,2006,NA,815000,73.25817073
Senegal,SEN,2006,NA,-166051,61.05407317
Serbia,SRB,2006,NA,-38215,73.38536585
Seychelles,SYC,2006,NA,-1111,72.21707317
Sierra Leone,SLE,2006,NA,60000,44.54807317
Singapore,SGP,2006,NA,449245,80.14146341
Slovak Republic,SVK,2006,NA,9597,74.20487805
Slovenia,SVN,2006,NA,49624,78.08658537
Small states,SST,2006,NA,-440163,62.24007029
Solomon Islands,SLB,2006,NA,-11896,65.93460976
Somalia,SOM,2006,NA,-350000,52.68278049
South Africa,ZAF,2006,NA,1402640,51.61370732
South Asia,SAS,2006,NA,-9901386,65.17552135
South Sudan,SSD,2006,NA,785000,51.61329268
Spain,ESP,2006,NA,2250005,80.82195122
Sri Lanka,LKA,2006,NA,-520065,74.12453659
St. Lucia,LCA,2006,NA,2850,73.36907317
St. Vincent and the Grenadines,VCT,2006,NA,-5122,71.46021951
Sub-Saharan Africa (all income levels),SSF,2006,NA,-496807,53.43246063
Sub-Saharan Africa (developing only),SSA,2006,NA,-515696,53.42989884
Sudan,SDN,2006,NA,-500000,60.2622439
Suriname,SUR,2006,NA,-5675,69.15673171
Swaziland,SWZ,2006,NA,-6000,46.24136585
Sweden,SWE,2006,NA,262453,80.74878049
Switzerland,CHE,2006,NA,344872,81.4902439
Syrian Arab Republic,SYR,2006,NA,370000,74.43241463
Tajikistan,TJK,2006,NA,-65435,66.66180488
Tanzania,TZA,2006,NA,-265317,56.832
Thailand,THA,2006,NA,-858537,72.52573171
Timor-Leste,TLS,2006,NA,-104946,65.04785366
Togo,TGO,2006,NA,-9994,54.9307561
Tonga,TON,2006,NA,-8196,71.59370732
Trinidad and Tobago,TTO,2006,NA,-11303,69.10834146
Tunisia,TUN,2006,NA,-32941,73.9
Turkey,TUR,2006,NA,-50000,72.82858537
Turkmenistan,TKM,2006,NA,-57048,64.53180488
Uganda,UGA,2006,NA,-135000,52.75704878
Ukraine,UKR,2006,NA,235195,68.07756098
United Arab Emirates,ARE,2006,NA,3493000,75.90453659
United Kingdom,GBR,2006,NA,1523939,79.24878049
United States,USA,2006,NA,5070253,77.68780488
Upper middle income,UMC,2006,NA,-4878453,72.8127761
Uruguay,URY,2006,NA,-50000,75.79641463
Uzbekistan,UZB,2006,NA,-290000,67.43514634
Vanuatu,VUT,2006,NA,1135,69.6367561
Venezuela  RB,VEN,2006,NA,-28395,73.30104878
Vietnam,VNM,2006,NA,-877681,74.31236585
Virgin Islands (U.S.),VIR,2006,NA,-6191,78.62439024
West Bank and Gaza,PSE,2006,NA,-90000,71.60587805
World,WLD,2006,NA,0,69.33913143
Yemen  Rep.,YEM,2006,NA,0,61.71717073
Zambia,ZMB,2006,NA,-124044,50.96660976
Zimbabwe,ZWE,2006,NA,-307650,42.81070732
Afghanistan,AFG,2007,NA,-677497,57.83382927
Albania,ALB,2007,NA,-252926,76.47029268
Algeria,DZA,2007,NA,-357340,72.89836585
Angola,AGO,2007,NA,85286,49.43573171
Antigua and Barbuda,ATG,2007,NA,-92,74.80321951
Arab World,ARB,2007,NA,4413525,69.20588399
Argentina,ARG,2007,NA,-84998,75.00904878
Armenia,ARM,2007,NA,-136009,73.76465854
Aruba,ABW,2007,NA,-441,74.5267561
Australia,AUS,2007,NA,1132688,81.29268293
Austria,AUT,2007,NA,153763,80.1804878
Azerbaijan,AZE,2007,NA,-96798,69.7565122
Bahamas  The,BHS,2007,NA,14363,74.05946341
Bahrain,BHR,2007,NA,316544,75.7077561
Bangladesh,BGD,2007,NA,-3570954,68.85997561
Barbados,BRB,2007,NA,2050,74.35641463
Belarus,BLR,2007,NA,63933,70.20341463
Belgium,BEL,2007,NA,267204,79.78292683
Belize,BLZ,2007,NA,8722,69.452
Benin,BEN,2007,NA,50000,57.86739024
Bhutan,BTN,2007,NA,16829,66.29309756
Bolivia,BOL,2007,NA,-84003,64.69412195
Bosnia and Herzegovina,BIH,2007,NA,3677,75.3714878
Botswana,BWA,2007,NA,18730,59.07456098
Brazil,BRA,2007,NA,0,72.41482927
Brunei Darussalam,BRN,2007,NA,2441,76.67556098
Bulgaria,BGR,2007,NA,-83002,72.66341463
Burkina Faso,BFA,2007,NA,-125000,55.18880488
Burundi,BDI,2007,NA,163733,53.45607317
Cabo Verde,CPV,2007,NA,-25866,72.09936585
Cambodia,KHM,2007,NA,-295987,64.55234146
Cameroon,CMR,2007,NA,-90000,52.47914634
Canada,CAN,2007,NA,1229905,80.63439024
Caribbean small states,CSS,2007,NA,-127609,71.53580442
Central African Republic,CAF,2007,NA,5000,45.68739024
Central Europe and the Baltics,CEB,2007,NA,-811784,74.25238333
Chad,TCD,2007,NA,70000,48.55921951
Channel Islands,CHI,2007,NA,4479,79.41080488
Chile,CHL,2007,NA,139345,79.31353659
China,CHN,2007,NA,-2202103,74.34043902
Colombia,COL,2007,NA,-143000,72.7055122
Comoros,COM,2007,NA,-10000,60.71234146
Congo  Dem. Rep.,COD,2007,NA,-43426,55.06441463
Congo  Rep.,COG,2007,NA,49872,55.80131707
Costa Rica,CRI,2007,NA,30339,78.33031707
Cote d'Ivoire,CIV,2007,NA,-220000,48.77882927
Croatia,HRV,2007,NA,-22532,75.70560976
Cuba,CUB,2007,NA,-193998,78.44919512
Curacao,CUW,2007,NA,15363,75.36341463
Cyprus,CYP,2007,NA,44166,78.8685122
Czech Republic,CZE,2007,NA,250889,76.72439024
Denmark,DNK,2007,NA,87989,78.19512195
Djibouti,DJI,2007,NA,-19965,58.82934146
Dominican Republic,DOM,2007,NA,-153773,72.13131707
East Asia & Pacific (all income levels),EAS,2007,NA,-5719538,73.58466052
East Asia & Pacific (developing only),EAP,2007,NA,-8308340,72.63781206
Ecuador,ECU,2007,NA,-44999,74.49502439
Egypt  Arab Rep.,EGY,2007,NA,-279228,69.78229268
El Salvador,SLV,2007,NA,-285671,70.78046341
Equatorial Guinea,GNQ,2007,NA,20000,54.51631707
Eritrea,ERI,2007,NA,-160001,59.66941463
Estonia,EST,2007,NA,-15151,72.81463415
Ethiopia,ETH,2007,NA,-50132,58.408
Euro area,EMU,2007,NA,4638063,80.09975173
Europe & Central Asia (all income levels),ECS,2007,NA,7418656,74.92140241
Europe & Central Asia (developing only),ECA,2007,NA,-2098386,70.51598919
European Union,EUU,2007,NA,5884417,78.96821027
Fiji,FJI,2007,NA,-28754,68.84341463
Finland,FIN,2007,NA,71143,79.26341463
Fragile and conflict affected situations,FCS,2007,NA,-2970463,59.34711873
France,FRA,2007,NA,480787,81.11219512
French Polynesia,PYF,2007,NA,-3463,74.89197561
Gabon,GAB,2007,NA,9566,60.39278049
