Economy,CCODE,DBYEAR,CAL_YEAR,Indicator,IndicatorDescription,value
Albania,ALB,DB2014,2013,DWC,Dealing with Construction Permits,0
Albania,ALB,DB2014,2013,EC,Enforcing Contracts,56.84
Albania,ALB,DB2014,2013,GC,Getting Credit,87.5
Albania,ALB,DB2014,2013,GE,Getting Electricity,58.05
Albania,ALB,DB2014,2013,PMI,Protecting Minority Investors,70
Albania,ALB,DB2014,2013,PT,Paying Taxes,59.94
Albania,ALB,DB2014,2013,RI,Resolving Insolvency,43.78
Albania,ALB,DB2014,2013,RP,Registering Property,56.31
Albania,ALB,DB2014,2013,SB,Starting a Business,88.74
Albania,ALB,DB2014,2013,TAB,Trading Across Borders,72.55
Albania,ALB,DB2015,2014,DTF,DTF,66.77
Albania,ALB,DB2015,2014,DWC,Dealing with Construction Permits,64.04
Albania,ALB,DB2015,2014,EC,Enforcing Contracts,57.37
Albania,ALB,DB2015,2014,GC,Getting Credit,65
Albania,ALB,DB2015,2014,GE,Getting Electricity,43.75
Albania,ALB,DB2015,2014,PMI,Protecting Minority Investors,70
Albania,ALB,DB2015,2014,PT,Paying Taxes,64.47
Albania,ALB,DB2015,2014,RI,Resolving Insolvency,62.94
Albania,ALB,DB2015,2014,RP,Registering Property,58.84
Albania,ALB,DB2015,2014,SB,Starting a Business,90.13
Albania,ALB,DB2015,2014,TAB,Trading Across Borders,91.14
Albania,ALB,DB2016,2015,DTF,DTF,60.5
Albania,ALB,DB2016,2015,DWC,Dealing with Construction Permits,0
Albania,ALB,DB2016,2015,EC,Enforcing Contracts,57.37
Albania,ALB,DB2016,2015,GC,Getting Credit,65
Albania,ALB,DB2016,2015,GE,Getting Electricity,43.7
Albania,ALB,DB2016,2015,PMI,Protecting Minority Investors,73.33
Albania,ALB,DB2016,2015,PT,Paying Taxes,62.01
Albania,ALB,DB2016,2015,RI,Resolving Insolvency,63.42
Albania,ALB,DB2016,2015,RP,Registering Property,58.47
Albania,ALB,DB2016,2015,SB,Starting a Business,90.09
Albania,ALB,DB2016,2015,TAB,Trading Across Borders,91.61
Algeria,DZA,DB2004,2003,DTF,DTF,57.88
Algeria,DZA,DB2004,2003,DWC,Dealing with Construction Permits,..
Algeria,DZA,DB2004,2003,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2004,2003,GC,Getting Credit,..
Algeria,DZA,DB2004,2003,GE,Getting Electricity,..
Algeria,DZA,DB2004,2003,PMI,Protecting Minority Investors,..
Algeria,DZA,DB2004,2003,PT,Paying Taxes,..
Algeria,DZA,DB2004,2003,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2004,2003,RP,Registering Property,..
Algeria,DZA,DB2004,2003,SB,Starting a Business,68.11
Algeria,DZA,DB2004,2003,TAB,Trading Across Borders,..
Algeria,DZA,DB2005,2004,DTF,DTF,46.63
Algeria,DZA,DB2005,2004,DWC,Dealing with Construction Permits,..
Algeria,DZA,DB2005,2004,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2005,2004,GC,Getting Credit,18.75
Algeria,DZA,DB2005,2004,GE,Getting Electricity,..
Algeria,DZA,DB2005,2004,PMI,Protecting Minority Investors,..
Algeria,DZA,DB2005,2004,PT,Paying Taxes,..
Algeria,DZA,DB2005,2004,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2005,2004,RP,Registering Property,38.35
Algeria,DZA,DB2005,2004,SB,Starting a Business,70.53
Algeria,DZA,DB2005,2004,TAB,Trading Across Borders,..
Algeria,DZA,DB2006,2005,DTF,DTF,45.38
Algeria,DZA,DB2006,2005,DWC,Dealing with Construction Permits,62.54
Algeria,DZA,DB2006,2005,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2006,2005,GC,Getting Credit,18.75
Algeria,DZA,DB2006,2005,GE,Getting Electricity,..
Algeria,DZA,DB2006,2005,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2006,2005,PT,Paying Taxes,32.19
Algeria,DZA,DB2006,2005,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2006,2005,RP,Registering Property,38.35
Algeria,DZA,DB2006,2005,SB,Starting a Business,71.46
Algeria,DZA,DB2006,2005,TAB,Trading Across Borders,49.61
Algeria,DZA,DB2007,2006,DTF,DTF,45.83
Algeria,DZA,DB2007,2006,DWC,Dealing with Construction Permits,62.97
Algeria,DZA,DB2007,2006,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2007,2006,GC,Getting Credit,18.75
Algeria,DZA,DB2007,2006,GE,Getting Electricity,..
Algeria,DZA,DB2007,2006,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2007,2006,PT,Paying Taxes,32.19
Algeria,DZA,DB2007,2006,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2007,2006,RP,Registering Property,38.35
Algeria,DZA,DB2007,2006,SB,Starting a Business,71.9
Algeria,DZA,DB2007,2006,TAB,Trading Across Borders,52.81
Algeria,DZA,DB2008,2007,DTF,DTF,47.64
Algeria,DZA,DB2008,2007,DWC,Dealing with Construction Permits,63.01
Algeria,DZA,DB2008,2007,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2008,2007,GC,Getting Credit,18.75
Algeria,DZA,DB2008,2007,GE,Getting Electricity,..
Algeria,DZA,DB2008,2007,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2008,2007,PT,Paying Taxes,40.68
Algeria,DZA,DB2008,2007,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2008,2007,RP,Registering Property,38.35
Algeria,DZA,DB2008,2007,SB,Starting a Business,71.98
Algeria,DZA,DB2008,2007,TAB,Trading Across Borders,60.43
Algeria,DZA,DB2009,2008,DTF,DTF,47.78
Algeria,DZA,DB2009,2008,DWC,Dealing with Construction Permits,63.42
Algeria,DZA,DB2009,2008,EC,Enforcing Contracts,50.81
Algeria,DZA,DB2009,2008,GC,Getting Credit,18.75
Algeria,DZA,DB2009,2008,GE,Getting Electricity,..
Algeria,DZA,DB2009,2008,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2009,2008,PT,Paying Taxes,40.53
Algeria,DZA,DB2009,2008,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2009,2008,RP,Registering Property,38.29
Algeria,DZA,DB2009,2008,SB,Starting a Business,72.82
Algeria,DZA,DB2009,2008,TAB,Trading Across Borders,60.72
Algeria,DZA,DB2010,2009,DTF,DTF,50.96
Algeria,DZA,DB2010,2009,DWC,Dealing with Construction Permits,63.69
Algeria,DZA,DB2010,2009,EC,Enforcing Contracts,52.89
Algeria,DZA,DB2010,2009,GC,Getting Credit,18.75
Algeria,DZA,DB2010,2009,GE,Getting Electricity,62.02
Algeria,DZA,DB2010,2009,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2010,2009,PT,Paying Taxes,41.46
Algeria,DZA,DB2010,2009,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2010,2009,RP,Registering Property,50.62
Algeria,DZA,DB2010,2009,SB,Starting a Business,73
Algeria,DZA,DB2010,2009,TAB,Trading Across Borders,62.47
Algeria,DZA,DB2011,2010,DTF,DTF,50.7
Algeria,DZA,DB2011,2010,DWC,Dealing with Construction Permits,63.53
Algeria,DZA,DB2011,2010,EC,Enforcing Contracts,52.89
Algeria,DZA,DB2011,2010,GC,Getting Credit,18.75
Algeria,DZA,DB2011,2010,GE,Getting Electricity,61.29
Algeria,DZA,DB2011,2010,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2011,2010,PT,Paying Taxes,41.46
Algeria,DZA,DB2011,2010,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2011,2010,RP,Registering Property,50.59
Algeria,DZA,DB2011,2010,SB,Starting a Business,72.68
Algeria,DZA,DB2011,2010,TAB,Trading Across Borders,61.06
Algeria,DZA,DB2012,2011,DTF,DTF,50.9
Algeria,DZA,DB2012,2011,DWC,Dealing with Construction Permits,63.71
Algeria,DZA,DB2012,2011,EC,Enforcing Contracts,52.89
Algeria,DZA,DB2012,2011,GC,Getting Credit,18.75
Algeria,DZA,DB2012,2011,GE,Getting Electricity,62.09
Algeria,DZA,DB2012,2011,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2012,2011,PT,Paying Taxes,41.46
Algeria,DZA,DB2012,2011,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2012,2011,RP,Registering Property,50.62
Algeria,DZA,DB2012,2011,SB,Starting a Business,73.03
Algeria,DZA,DB2012,2011,TAB,Trading Across Borders,61.72
Algeria,DZA,DB2013,2012,DTF,DTF,51.16
Algeria,DZA,DB2013,2012,DWC,Dealing with Construction Permits,64.01
Algeria,DZA,DB2013,2012,EC,Enforcing Contracts,52.89
Algeria,DZA,DB2013,2012,GC,Getting Credit,18.75
Algeria,DZA,DB2013,2012,GE,Getting Electricity,62.46
Algeria,DZA,DB2013,2012,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2013,2012,PT,Paying Taxes,41.58
Algeria,DZA,DB2013,2012,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2013,2012,RP,Registering Property,50.64
Algeria,DZA,DB2013,2012,SB,Starting a Business,73.24
Algeria,DZA,DB2013,2012,TAB,Trading Across Borders,63.28
Algeria,DZA,DB2014,2013,DTF,DTF,53.33
Algeria,DZA,DB2014,2013,DWC,Dealing with Construction Permits,63.81
Algeria,DZA,DB2014,2013,EC,Enforcing Contracts,52.89
Algeria,DZA,DB2014,2013,GC,Getting Credit,43.75
Algeria,DZA,DB2014,2013,GE,Getting Electricity,58.97
Algeria,DZA,DB2014,2013,PMI,Protecting Minority Investors,30
Algeria,DZA,DB2014,2013,PT,Paying Taxes,41.63
Algeria,DZA,DB2014,2013,RI,Resolving Insolvency,54.72
Algeria,DZA,DB2014,2013,RP,Registering Property,50.63
Algeria,DZA,DB2014,2013,SB,Starting a Business,73.11
Algeria,DZA,DB2014,2013,TAB,Trading Across Borders,63.74
Algeria,DZA,DB2015,2014,DTF,DTF,45.4
Algeria,DZA,DB2015,2014,DWC,Dealing with Construction Permits,62.95
Algeria,DZA,DB2015,2014,EC,Enforcing Contracts,55.49
Algeria,DZA,DB2015,2014,GC,Getting Credit,10
Algeria,DZA,DB2015,2014,GE,Getting Electricity,57.48
Algeria,DZA,DB2015,2014,PMI,Protecting Minority Investors,33.33
Algeria,DZA,DB2015,2014,PT,Paying Taxes,45.03
Algeria,DZA,DB2015,2014,RI,Resolving Insolvency,47.67
Algeria,DZA,DB2015,2014,RP,Registering Property,43.83
Algeria,DZA,DB2015,2014,SB,Starting a Business,74.07
Algeria,DZA,DB2015,2014,TAB,Trading Across Borders,24.15
Algeria,DZA,DB2016,2015,DTF,DTF,45.72
Algeria,DZA,DB2016,2015,DWC,Dealing with Construction Permits,64.05
Algeria,DZA,DB2016,2015,EC,Enforcing Contracts,55.49
Algeria,DZA,DB2016,2015,GC,Getting Credit,10
Algeria,DZA,DB2016,2015,GE,Getting Electricity,57.56
Algeria,DZA,DB2016,2015,PMI,Protecting Minority Investors,33.33
Algeria,DZA,DB2016,2015,PT,Paying Taxes,45.03
Algeria,DZA,DB2016,2015,RI,Resolving Insolvency,47.67
Algeria,DZA,DB2016,2015,RP,Registering Property,43.83
Algeria,DZA,DB2016,2015,SB,Starting a Business,76.08
Algeria,DZA,DB2016,2015,TAB,Trading Across Borders,24.15
Angola,AGO,DB2004,2003,DTF,DTF,15.36
Angola,AGO,DB2004,2003,DWC,Dealing with Construction Permits,..
Angola,AGO,DB2004,2003,EC,Enforcing Contracts,33
Angola,AGO,DB2004,2003,GC,Getting Credit,..
Angola,AGO,DB2004,2003,GE,Getting Electricity,..
Angola,AGO,DB2004,2003,PMI,Protecting Minority Investors,..
Angola,AGO,DB2004,2003,PT,Paying Taxes,..
Angola,AGO,DB2004,2003,RI,Resolving Insolvency,0
Angola,AGO,DB2004,2003,RP,Registering Property,..
